Iteration,MSE,w,b,Total calc time
0,8.5538,0.11,0.03,0.0
10,0.7000548540903043,0.6975860557290504,0.18811286891883466,0.0010204315185546875
20,0.06670655020553462,0.8652348145123788,0.229987668613493,0.0010204315185546875
30,0.015317927339145096,0.9136504362508516,0.2389133238604667,0.0010204315185546875
40,0.010845343063823194,0.9282023057443942,0.23853450154312186,0.0010204315185546875
50,0.010165092621274458,0.93312680622107,0.23556302891835823,0.0010204315185546875
60,0.009801135269491269,0.9353048126178267,0.23190355691967293,0.0010204315185546875
70,0.009472955869818004,0.9366900111854813,0.22809600504371796,0.0010204315185546875
80,0.009157603308633994,0.9378372680319659,0.22429286250988936,0.0010204315185546875
90,0.00885289694543631,0.9389043240841662,0.22053664135906934,0.002027750015258789
100,0.008558341201074567,0.9399361738140513,0.21683864446304096,0.002027750015258789
110,0.008273586949826366,0.9409457996999985,0.21320132734366468,0.002027750015258789
120,0.00799830715696827,0.9419370925957552,0.20962464642109177,0.002027750015258789
130,0.007732186513165004,0.942911358823905,0.20610786105333015,0.002027750015258789
140,0.007474920268136337,0.9438691675809763,0.2026500449222395,0.002027750015258789
150,0.007226213816774374,0.9448108754678544,0.19925023100974146,0.002027750015258789
160,0.006985782356550049,0.9457367754584607,0.1959074525546583,0.003027677536010742
170,0.00675335056095417,0.9466471392464703,0.19262075448209667,0.003027677536010742
180,0.006528652264177296,0.9475422293214046,0.18938919645338562,0.003027677536010742
190,0.006311430156311175,0.9484223024500643,0.18621185354038058,0.003027677536010742
200,0.006101435488694086,0.9492876107170689,0.1830878162285442,0.003027677536010742
210,0.0058984277890597354,0.9501384018715595,0.1800161902326289,0.003027677536010742
220,0.005702174586164233,0.9509749194760615,0.17699609626226404,0.003027677536010742
230,0.005512451143575114,0.9517974029983342,0.1740266697763764,0.003027677536010742
240,0.005329040202317505,0.952606087886204,0.17110706073744378,0.004027366638183594
250,0.005151731732083577,0.9534012056367482,0.16823643336865443,0.004027366638183594
260,0.004980322690719187,0.9541829838630697,0.1654139659147949,0.004027366638183594
270,0.004814616791713439,0.9549516463595982,0.1626388504070518,0.004027366638183594
280,0.0046544242794238615,0.9557074131661952,0.15991029243173122,0.004027366638183594
290,0.0044995617117807325,0.9564505006311554,0.1572275109028502,0.004027366638183594
300,0.004349851750221049,0.9571811214731417,0.15458973783854169,0.004027366638183594
310,0.004205122956611878,0.9578994848420807,0.1519962181412097,0.004027366638183594
320,0.004065209596930668,0.9586057963790335,0.14944620938137265,0.004027366638183594
330,0.003929951451477275,0.959300258275065,0.14693898158513308,0.004027366638183594
340,0.00379919363140076,0.959983069329122,0.14447381702521278,0.004027366638183594
350,0.0036727864013308257,0.9606544250049438,0.14205001001549417,0.005532979965209961
360,0.003550585007910538,0.9613145174870146,0.13966686670900788,0.005532979965209961
370,0.003432449514034116,0.9619635357355805,0.13732370489931017,0.005532979965209961
380,0.0033182446386000675,0.9626016655407404,0.13501985382519205,0.005532979965209961
390,0.00320783960159616,0.963229089575632,0.13275465397866495,0.00605010986328125
400,0.003101107974338499,0.9638459874487239,0.13052745691616813,0.00605010986328125
410,0.0029979275346936262,0.9644525357552309,0.12833762507294252,0.00605010986328125
420,0.0028981801271177818,0.9650489081276667,0.12618453158051984,0.00605010986328125
430,0.0028017515273526324,0.965635275285549,0.12406756008727303,0.00605010986328125
440,0.0027085313116232477,0.9662118050842696,0.12198610458197727,0.00605010986328125
450,0.002618412730187948,0.9667786625631456,0.11993956922033129,0.00605010986328125
460,0.00253129258509524,0.9673360099926638,0.11792736815438902,0.00605010986328125
470,0.0024470711120084844,0.9678840069209331,0.11594892536485298,0.007056236267089844
480,0.002365651865962033,0.9684228102193573,0.11400367449618083,0.007056236267089844
490,0.0022869416109188487,0.9689525741275411,0.11209105869445876,0.007056236267089844
500,0.002210850213002573,0.9694734502974443,0.11021053044799457,0.007056236267089844
510,0.0021372905372820873,0.9699855878367929,0.10836155143058522,0.007056236267089844
520,0.0020661783479902613,0.9704891333517637,0.10654359234741374,0.007056236267089844
530,0.0019974322120625736,0.9709842309889528,0.10475613278353169,0.007056236267089844
540,0.0019309734058852838,0.9714710224766386,0.10299866105488323,0.008056163787841797
550,0.001866725825146241,0.9719496471653541,0.10127067406182902,0.008056163787841797
560,0.0018046158976852296,0.9724202420677774,0.09957167714512712,0.008056163787841797
570,0.0017445724992437358,0.9728829418979537,0.09790118394433013,0.008056163787841797
580,0.0016865268720182985,0.9733378791098585,0.09625871625855828,0.008056163787841797
590,0.0016304125459233334,0.9737851839353149,0.09464380390960786,0.008056163787841797
600,0.001576165262474029,0.974224984421274,0.0930559846073566,0.008056163787841797
610,0.0015237229012016042,0.97465740646647,0.09149480381742689,0.008056163787841797
620,0.0014730254085170886,0.9750825738574603,0.08995981463106927,0.009056568145751953
630,0.0014240147289417476,0.9755006083040612,0.08845057763722888,0.009056568145751953
640,0.0013766347386257784,0.9759116294741885,0.0869666607967583,0.009056568145751953
650,0.0013308311810788583,0.9763157550281146,0.08550763931874043,0.009056568145751953
660,0.001286551605039243,0.9767131006521507,0.08407309553888663,0.009561777114868164
670,0.0012437453044098425,0.977103780091762,0.08266261879997457,0.009561777114868164
680,0.0012023632601930224,0.9774879051841305,0.08127580533429235,0.009561777114868164
690,0.001162358084357112,0.9778655858901691,0.07991225814805442,0.009561777114868164
700,0.0011236839655708012,0.978236930325999,0.07857158690775695,0.009561777114868164
710,0.0010862966167429495,0.9786020447939004,0.0772534078284397,0.009561777114868164
720,0.0010501532243078074,0.9789610338127421,0.07595734356382249,0.009561777114868164
730,0.0010152123991978214,0.9793140001479016,0.07468302309828465,0.009561777114868164
740,0.00098143412944748,0.9796610448406836,0.07343008164065701,0.010567665100097656
750,0.000948779734374227,0.9800022672372436,0.0721981605197955,0.010567665100097656
760,0.0009172118202838628,0.9803377650170274,0.07098690708190693,0.010567665100097656
770,0.0008866942376496974,0.9806676342207332,0.06979597458959694,0.010567665100097656
780,0.0008571920397164586,0.9809919692778049,0.06862502212261196,0.010567665100097656
790,0.0008286714424815686,0.9813108630334628,0.06747371448024621,0.010567665100097656
800,0.0008010997860078523,0.9816244067752828,0.06634172208538593,0.010567665100097656
810,0.0007744454970234923,0.9819326902593278,0.06522872089016378,0.010567665100097656
820,0.0007486780527664517,0.9822358017358422,0.06413439228319569,0.011567831039428711
830,0.0007237679460316548,0.9825338279745147,0.06305842299837416,0.011567831039428711
840,0.0006996866513813659,0.982826854289317,0.0620005050251916,0.011567831039428711
850,0.0006764065924796468,0.9831149645629261,0.060960335520568315,0.011567831039428711
860,0.0006539011105137751,0.9833982412707366,0.05993761672215956,0.011567831039428711
870,0.0006321444336662096,0.9836767655044711,0.058932055863117234,0.011567831039428711
880,0.0006111116476024996,0.9839506169953931,0.05794336508828138,0.011567831039428711
890,0.0005907786669409153,0.9842198741371315,0.056971261371777826,0.012568473815917969
900,0.00057112220767146,0.9844846140081214,0.05601546643599835,0.012568473815917969
910,0.000552119760492543,0.9847449123936691,0.055075706671939915,0.012568473815917969
920,0.0005337495650347736,0.9850008438076475,0.05415171306088057,0.012568473815917969
930,0.0005159905849424178,0.9852524815138247,0.05324322109736905,0.012568473815917969
940,0.0004988224837838838,0.9854998975468386,0.05234997071350685,0.012568473815917969
950,0.00048222560176382326,0.9857431627328168,0.051471706204500166,0.012568473815917969
960,0.0004661809332099651,0.9859823467096516,0.05060817615546106,0.012568473815917969
970,0.00045067010480906,0.9862175179469356,0.049759133369436555,0.013567924499511719
980,0.00043567535456695447,0.9864487437655606,0.0489243347966452,0.013567924499511719
